1,34
2,35
3,10
4,8
5,37
6,6
7,6
8,18
9,34
10,18
11,23
12,28
13,21
14,44
15,18
16,10
17,40
18,38
19,1
20,18
21,28
22,27
23,49
24,29
25,12
26,10
27,46
28,11
29,19
30,27
31,12
32,28
33,10
34,1
35,50
36,4
37,26
38,23
39,8
40,17
41,23
42,16
43,50
44,8
45,33
46,8
47,27
48,15
49,46
50,30
51,50
52,18
53,20
54,10
55,29
56,34
57,41
58,34
59,0
60,46
61,48
62,39
63,22
64,45
65,50
66,40
67,43
68,26
69,18
70,5
71,8
72,12
73,42
74,43
75,0
76,2
77,1
78,31
79,12
80,42
81,11
82,26
83,34
84,14
85,39
86,41
87,50
88,33
89,13
90,47
91,4
92,0
93,26
94,43
95,0
96,13
97,20
98,50
99,6
100,29
101,6
102,47
103,17
104,1
105,48
106,25
107,37
108,27
109,1
110,23
111,14
112,7
113,3
114,25
115,34
116,9
117,9
118,36
119,39
120,46
121,8
122,50
123,2
124,40
125,31
126,0
127,1
128,30
129,18
130,47
131,40
132,4
133,36
134,34
135,35
136,18
137,12
138,8
139,35
140,36
141,10
142,21
143,28
144,35
145,11
146,34
147,23
148,8
149,33
150,43
151,34
152,23
153,8
154,18
155,13
156,27
157,14
158,33
159,43
160,19
161,11
162,39
163,28
164,35
165,38
166,48
167,23
168,0
169,9
170,42
171,47
172,21
173,8
174,2
175,14
176,25
177,46
178,28
179,28
180,49
181,12
182,27
183,11
184,39
185,3
186,11
187,41
188,0
189,8
190,3
191,27
192,12
193,5
194,38
195,7
196,46
197,20
198,45
199,18
200,29
201,32
202,27
203,21
204,14
205,14
206,33
207,22
208,47
209,43
210,9
211,21
212,48
213,17
214,50
215,0
216,17
217,0
218,34
219,20
220,37
221,41
222,29
223,33
224,5
225,50
226,35
227,33
228,25
229,44
230,9
231,24
232,22
233,27
234,34
235,17
236,43
237,18
238,35
239,33
240,22
241,0
242,10
243,34
244,3
245,33
246,33
247,10
248,27
249,23
250,41
251,27
252,48
253,48
254,22
255,11
256,2
257,34
258,0
259,37
260,20
261,6
262,25
263,4
264,9
265,6
266,16
267,40
268,34
269,10
270,28
271,16
272,41
273,38
274,3
275,9
276,43
277,18
278,41
279,42
280,30
281,49
282,46
283,50
284,6
285,42
286,2
287,5
288,39
289,49
290,49
291,14
292,49
293,11
294,17
295,31
296,23
297,10
298,35
299,41
300,33
301,10
302,28
303,24
304,13
305,26
306,37
307,8
308,9
309,11
310,10
311,0
312,17
313,19
314,41
315,37
316,15
317,25
318,33
319,46
320,37
321,20
322,15
323,44
324,2
325,15
326,33
327,9
328,41
329,44
330,40
331,33
332,9
333,6
334,46
335,35
336,28
337,32
338,12
339,19
340,34
341,0
342,43
343,46
344,14
345,42
346,37
347,13
348,18
349,11
350,39
351,33
352,46
353,41
354,9
355,15
356,28
357,37
358,26
359,28
360,17
361,2
362,8
363,6
364,7
365,50
366,34
367,8
368,42
369,11
370,42
371,8
372,26
373,7
374,17
375,34
376,7
377,41
378,12
379,48
380,27
381,34
382,7
383,8
384,8
385,10
386,45
387,9
388,36
389,39
390,27
391,46
392,25
393,47
394,48
395,38
396,0
397,7
398,19
399,45
400,44
401,35
402,27
403,18
404,18
405,6
406,13
407,44
408,0
409,16
410,41
411,11
412,6
413,16
414,23
415,19
416,44
417,3
418,0
419,3
420,19
421,23
422,31
423,3
424,14
425,43
426,28
427,6
428,22
429,42
430,45
431,12
432,39
433,31
434,35
435,1
436,7
437,13
438,36
439,31
440,14
441,26
442,17
443,50
444,43
445,28
446,36
447,10
448,23
449,45
450,38
451,2
452,4
453,44
454,1
455,28
456,37
457,35
458,23
459,7
460,39
461,11
462,42
463,21
464,15
465,22
466,26
467,34
468,13
469,21
470,23
471,8
472,33
473,4
474,46
475,45
476,43
477,3
478,26
479,38
480,46
481,16
482,44
483,1
484,50
485,48
486,46
487,40
488,7
489,26
490,17
491,34
492,2
493,28
494,39
495,43
496,9
497,19
498,0
499,0
500,40
501,6
502,41
503,27
504,37
505,50
506,1
507,35
508,48
509,3
510,31
511,45
512,1
513,8
514,19
