1,22
2,37
3,26
4,11
5,1
6,10
7,10
8,18
9,11
10,50
11,11
12,0
13,17
14,42
15,13
16,10
17,20
18,47
19,23
20,5
21,11
22,17
23,2
24,4
25,18
26,35
27,20
28,25
29,4
30,32
31,0
32,40
33,48
34,42
35,42
36,26
37,50
38,40
39,0
40,0
41,11
42,14
43,38
44,45
45,27
46,15
47,24
48,44
49,34
50,37
51,34
52,35
53,13
54,10
55,18
56,5
57,4
58,42
59,30
60,31
61,10
62,13
63,21
64,29
65,7
66,48
67,17
68,20
69,12
70,43
71,24
72,32
73,28
74,3
75,0
76,50
77,33
78,6
79,13
80,15
81,24
82,12
83,14
84,46
85,33
86,0
87,0
88,5
89,14
90,14
91,26
92,43
93,38
94,43
95,23
96,30
97,13
98,32
99,0
100,19
101,5
102,50
103,4
104,8
105,46
106,28
107,41
108,46
109,31
110,50
111,21
112,33
113,14
114,50
115,41
116,15
117,24
118,7
119,12
120,21
121,0
122,50
123,46
124,32
125,21
126,13
127,43
128,40
129,30
130,48
131,50
132,2
133,10
134,6
135,50
136,5
137,24
138,8
139,15
140,23
141,4
142,44
143,12
144,48
145,12
146,6
147,24
148,40
149,25
150,32
151,3
152,42
153,8
154,16
155,49
156,50
157,1
158,19
159,21
160,11
161,33
162,3
163,43
164,1
165,5
166,27
167,24
168,34
169,0
170,11
171,17
172,19
173,23
174,44
175,0
176,9
177,10
178,37
179,31
180,14
181,10
182,24
183,33
184,2
185,26
186,45
187,34
188,5
189,47
190,2
191,4
192,13
193,19
194,29
195,20
196,10
197,18
198,22
199,3
200,34
201,10
202,29
203,14
204,20
205,7
206,9
207,33
208,46
209,4
210,2
211,25
212,26
213,36
214,3
215,0
216,14
217,15
218,23
219,3
220,11
221,28
222,0
223,8
224,0
225,34
226,40
227,10
228,40
229,34
230,27
231,35
232,41
233,16
234,13
235,35
236,3
237,7
238,33
239,31
240,21
241,43
242,42
243,2
244,27
245,30
246,10
247,12
248,2
249,36
250,4
251,5
252,26
253,31
254,0
255,40
256,2
257,11
258,15
259,13
260,9
261,17
262,49
263,20
264,50
265,43
266,41
267,13
268,4
269,50
270,7
271,15
272,41
273,46
274,49
275,49
276,33
277,18
278,8
279,44
280,37
281,2
282,42
283,43
284,47
285,49
286,12
287,29
288,15
289,0
290,19
291,34
292,7
293,10
294,11
295,26
296,14
297,15
298,44
299,38
300,49
301,42
302,17
303,0
304,6
305,2
306,1
307,29
308,0
309,15
310,48
311,16
312,3
313,35
314,10
315,31
316,26
317,13
318,49
319,13
320,43
321,47
322,0
323,22
324,9
325,49
326,45
327,15
328,47
329,4
330,21
331,34
332,10
333,28
334,21
335,39
336,33
337,17
338,45
339,49
340,14
341,22
342,16
343,28
344,6
345,0
346,49
347,40
348,2
349,40
350,11
351,1
352,17
353,0
354,36
355,45
356,26
357,44
358,34
359,19
360,43
361,25
362,29
363,15
364,45
365,11
366,9
367,37
368,34
369,38
370,9
371,9
372,16
373,42
374,9
375,38
376,37
377,10
378,13
379,35
380,49
381,24
382,14
383,13
384,23
385,25
386,7
387,19
388,25
389,26
390,6
391,27
392,18
393,5
394,5
395,41
396,17
397,6
398,11
399,23
400,34
401,35
402,17
403,21
404,18
405,12
406,16
407,10
408,2
409,38
410,30
411,12
412,41
413,13
414,18
415,30
416,21
417,13
418,19
419,8
420,3
421,44
422,50
423,2
424,20
425,0
426,46
427,15
428,8
429,12
430,2
431,49
432,42
433,0
434,2
435,5
436,47
437,5
438,11
439,14
440,39
441,15
442,24
443,43
444,6
445,37
446,34
447,20
448,10
449,42
450,1
451,14
452,3
453,1
454,2
455,11
456,36
457,30
458,34
459,50
460,39
461,28
462,31
463,1
464,30
465,10
466,2
467,6
468,0
469,11
470,21
471,21
472,43
473,7
474,27
475,6
476,26
477,25
478,1
479,14
480,7
481,36
482,18
483,42
484,21
485,0
486,25
487,12
488,31
489,46
490,13
491,49
492,2
493,13
494,31
495,10
496,1
497,1
498,8
499,21
500,28
501,11
502,39
503,5
504,31
505,12
506,14
507,9
508,21
509,31
510,10
511,40
512,32
513,0
514,36
